timestamp,coin,price_usd
2026-08-20T09:00:00+00:00,bitcoin,61244.7
2026-08-20T09:00:15+00:00,bitcoin,61238.35
2026-08-20T09:00:30+00:00,bitcoin,61233.66
2026-08-20T09:00:45+00:00,bitcoin,61178.65
2026-08-20T09:01:00+00:00,bitcoin,61170.69
2026-08-20T09:01:15+00:00,bitcoin,61174.94
2026-08-20T09:01:30+00:00,bitcoin,61199.04
2026-08-20T09:01:45+00:00,bitcoin,61203.1
2026-08-20T09:02:00+00:00,bitcoin,61212.15
2026-08-20T09:02:15+00:00,bitcoin,60862.99
2026-08-20T09:02:30+00:00,bitcoin,60851.59
2026-08-20T09:02:45+00:00,bitcoin,60869.49
2026-08-20T09:03:00+00:00,bitcoin,60883.24
2026-08-20T09:03:15+00:00,bitcoin,60892.31
2026-08-20T09:03:30+00:00,bitcoin,60913.07
2026-08-20T09:03:45+00:00,bitcoin,60857.72
2026-08-20T09:04:00+00:00,bitcoin,60824.28
2026-08-20T09:04:15+00:00,bitcoin,60856.25
2026-08-20T09:04:30+00:00,bitcoin,60887.19
2026-08-20T09:04:45+00:00,bitcoin,60850.58
2026-08-20T09:05:00+00:00,bitcoin,60854.76
2026-08-20T09:05:15+00:00,bitcoin,60884.65
2026-08-20T09:05:30+00:00,bitcoin,60908.39
2026-08-20T09:05:45+00:00,bitcoin,60925.88
2026-08-20T09:06:00+00:00,bitcoin,60908.7
2026-08-20T09:06:15+00:00,bitcoin,60926.95
2026-08-20T09:06:30+00:00,bitcoin,60897.0
2026-08-20T09:06:45+00:00,bitcoin,60856.85
2026-08-20T09:07:00+00:00,bitcoin,60875.31
2026-08-20T09:07:15+00:00,bitcoin,60905.84
2026-08-20T09:07:30+00:00,bitcoin,60853.84
2026-08-20T09:07:45+00:00,bitcoin,60834.41
2026-08-20T09:08:00+00:00,bitcoin,60835.63
2026-08-20T09:08:15+00:00,bitcoin,60844.87
2026-08-20T09:08:30+00:00,bitcoin,60866.07
2026-08-20T09:08:45+00:00,bitcoin,60950.85
2026-08-20T09:09:00+00:00,bitcoin,60930.3
2026-08-20T09:09:15+00:00,bitcoin,60899.9
2026-08-20T09:09:30+00:00,bitcoin,60897.33
2026-08-20T09:09:45+00:00,bitcoin,60924.71
2026-08-20T09:10:00+00:00,bitcoin,60857.4
2026-08-20T09:10:15+00:00,bitcoin,60817.87
2026-08-20T09:10:30+00:00,bitcoin,60861.42
2026-08-20T09:10:45+00:00,bitcoin,60860.75
2026-08-20T09:11:00+00:00,bitcoin,60900.36
2026-08-20T09:11:15+00:00,bitcoin,60933.0
2026-08-20T09:11:30+00:00,bitcoin,60966.03
2026-08-20T09:11:45+00:00,bitcoin,60979.97
2026-08-20T09:12:00+00:00,bitcoin,60660.64
